"Timestamp","Age","Gender","Monthly Income","Education Level","Employement Status","I understand the environmental impact of fashion products.","I consider sustainability when buying fashion products.","I believe consumers should support sustainable fashion.","I question sustainability claims made by fashion brands.","I believe some fashion brands exaggerate their green claims.","I look for evidence before trusting sustainability statements.","Sustainable fashion reflects my personal values.","I use fashion choices to express my identity.","I feel connected with people who support sustainable fashion.","I trust eco-labels on sustainable fashion products.","I believe certified eco-labels provide reliable information.","Eco-labels help me choose sustainable fashion products.","The price of sustainable fashion affects my buying decisions.","Limited availability makes it difficult to buy sustainable fashion.","Style choices influence my decision to buy sustainable fashion.","I regularly buy sustainable fashion products.","I choose sustainable fashion brands when available.","I intend to continue purchasing sustainable fashion products.","I am willing to pay more for sustainable fashion products.","I accept higher prices for environmentally friendly clothing.","I would choose sustainable fashion even if it costs more."
"2026/08/30 11:18:22 pm CET","18 - 24 years","Male","Less than £1,000","Master’s Degree","Employed part time","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/08/30 11:19:21 pm CET","25–34 years","Female","£2,000–£2,999","Master’s Degree","Employed full time","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree"
"2026/08/30 11:21:55 pm CET","25–34 years","Female","£2,000–£2,999","Bachelor’s Degree","Employed full time","Agree","Agree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Agree","Agree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Agree"
"2026/08/30 11:22:55 pm CET","25–34 years","Female","£1,000–£1,999","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/08/30 11:23:55 pm CET","18 - 24 years","Female","Less than £1,000","Bachelor’s Degree","Student","Agree","Agree","Strongly Agree","Strongly agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly agree","Agree","Strongly Agree","Strongly Agree","Strongly agree"
"2026/08/30 11:25:02 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/08/30 11:26:12 pm CET","18 - 24 years","Male","Prefer not to say","Bachelor’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/08/30 11:27:11 pm CET","18 - 24 years","Female","Less than £1,000","Bachelor’s Degree","Employed part time","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly agree","Agree","Strongly Agree","Agree","Agree"
"2026/08/30 11:28:06 pm CET","18 - 24 years","Female","£1,000–£1,999","Master’s Degree","Student","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Agree","Agree","Neither Agree nor Disagree","Agree"
"2026/08/30 11:29:07 pm CET","25–34 years","Female","£1,000–£1,999","Master’s Degree","Employed full time","Agree","Agree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/08/30 11:30:07 pm CET","18 - 24 years","Male","Prefer not to say","College or diploma","Self-employed","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly agree","Agree","Agree","Strongly Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/08/30 11:32:21 pm CET","18 - 24 years","Female","£2,000–£2,999","Bachelor’s Degree","Employed full time","Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/08/30 11:33:20 pm CET","25–34 years","Female","£1,000–£1,999","Master’s Degree","Employed full time","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly agree","Agree","Agree","Agree","Strongly Agree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree"
"2026/08/30 11:34:43 pm CET","18 - 24 years","Male","£1,000–£1,999","Bachelor’s Degree","Employed full time","Agree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Agree"
"2026/08/30 11:35:44 pm CET","25–34 years","Female","£2,000–£2,999","College or diploma","Employed full time","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree"
"2026/08/30 11:36:52 pm CET","35–44 years","Female","£2,000–£2,999","Master’s Degree","Employed full time","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree"
"2026/08/30 11:38:15 pm CET","18 - 24 years","Female","£1,000–£1,999","Bachelor’s Degree","Student","Strongly Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Disagree","Disagree"
"2026/08/30 11:40:10 pm CET","25–34 years","Male","£1,000–£1,999","Master’s Degree","Employed full time","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/08/30 11:41:32 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/08/30 11:42:43 pm CET","25–34 years","Female","£2,000–£2,999","Master’s Degree","Employed full time","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Disagree","Disagree","Neither Agree nor Disagree"
"2026/08/30 11:43:45 pm CET","25–34 years","Female","£1,000–£1,999","Master’s Degree","Employed full time","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree","Disagree","Disagree"
"2026/08/30 11:45:36 pm CET","18 - 24 years","Male","Less than £1,000","Master’s Degree","Student","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/08/30 11:46:26 pm CET","18 - 24 years","Female","£1,000–£1,999","Master’s Degree","Employed full time","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Agree"
"2026/08/30 11:47:18 pm CET","25–34 years","Female","£1,000–£1,999","Master’s Degree","Employed full time","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/08/30 11:48:12 pm CET","25–34 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/08/30 11:49:07 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/08/31 2:49:44 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/08/31 2:51:01 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Employed full time","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","Disagree","Disagree"
"2026/08/31 2:52:02 pm CET","25–34 years","Female","£2,000–£2,999","Master’s Degree","Employed full time","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/08/31 2:53:38 pm CET","25–34 years","Male","£1,000–£1,999","Master’s Degree","Employed full time","Strongly Agree","Agree","Strongly Agree","Strongly agree","Agree","Agree","Neither Agree nor Disagree","Agree","Agree","Strongly Agree","Agree","Strongly agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree","Agree","Agree","Neither Agree nor Disagree","Agree","Neither Agree nor Disagree"
"2026/08/31 2:54:39 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/08/31 2:55:41 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/08/31 2:57:14 pm CET","25–34 years","Female","Less than £1,000","Master’s Degree","Employed part time","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/08/31 2:58:38 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/08/31 2:59:31 pm CET","18 - 24 years","Female","£1,000–£1,999","Master’s Degree","Employed full time","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/08/31 3:00:35 pm CET","25–34 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/08/31 3:01:35 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/08/31 3:03:07 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/08/31 3:04:09 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/08/31 3:12:26 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/08/31 3:13:22 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree"
"2026/08/31 3:14:16 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/08/31 3:15:14 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Disagree","Disagree"
"2026/08/31 3:23:49 pm CET","25–34 years","Male","£1,000–£1,999","Master’s Degree","Employed full time","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree"
"2026/08/31 3:24:43 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"2026/08/31 3:25:36 pm CET","18 - 24 years","Female","Less than £1,000","Master’s Degree","Student","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Neither Agree nor Disagree","Disagree","Neither Agree nor Disagree"
